Day,P1,P2,P3,P4,P5,P6
TIMING (Mon-Thu),9:30-10:30,10:30-11:30,11:30-12:30,1:30-2:30,2:30-3:30,3:30-4:30
TIMING (Friday),9:30-10:30,10:30-11:30,11:30-12:30,2:00-3:00,3:00-4:00,4:00-5:00
---,---,---,---,---,---,---
Monday,CST304 [B303],---,CST308 [B303],CST362 [B303],CST304 [B303],CST308 [B303]
Tuesday,CST306 [B303],CSL332 [Network_Lab_2],CST362 [B303],CST308 [B303],HNT301 [Room_310],HUT300 [B303]
Wednesday,HUT300 [B303],---,CST308 [B303],CST306 [B303],CST304 [B303],---
Thursday,---,---,CST306 [B303],CST302 [B303],CST304 [B303],CST302 [B303]
Friday,CST306 [B303],CST302 [B303],CST302 [B303],HUT300 [B303],HNT301 [Room_310],CST362 [B303]
