Day,P1,P2,P3,P4,P5,P6
TIMING (Mon-Thu),9:30-10:30,10:30-11:30,11:30-12:30,1:30-2:30,2:30-3:30,3:30-4:30
TIMING (Friday),9:30-10:30,10:30-11:30,11:30-12:30,2:00-3:00,3:00-4:00,4:00-5:00
---,---,---,---,---,---,---
Monday,---,---,---,CST304 [B202],CST362 [B202],---
Tuesday,CSL332 [Network_Lab_3],CST308 [B202],---,CST302 [B202],HNT301 [Room_310],CST306 [B202]
Wednesday,CST362 [B202],HUT300 [B202],HUT300 [B202],CST308 [B202],CST304 [B202],CST302 [B202]
Thursday,CST302 [B202],CST306 [B202],CST302 [B202],CST306 [B202],CST308 [B202],CST306 [B202]
Friday,CST308 [B202],HUT300 [B202],CST304 [B202],CST362 [B202],HNT301 [Room_310],CST304 [B202]
